"Rank","Name","Company","1-Year Pay ($mil)","5 Year Pay ($mil)","Shares Owned ($mil)","Age","Efficiency"
193,"Moore, Jack BJack B Moore","Cameron International",7.2,21.242,17.3,57,"-"
194,"Otis, Clarence JrClarence Otis Jr","Darden Restaurants",7.16,21.6,10.4,55,"34"
195,"Splinter, Michael RMichael R Splinter","Applied Materials",7.16,20.44,9.3,60,"140"
196,"Otellini, Paul SPaul S Otellini","Intel",7.165,42.19,16.4,60,"-"
197,"Koehler, Michael FMichael F Koehler","Teradata",7.08,14.512,9.8,58,"-"
198,"Benmosche, Robert HRobert H Benmosche","American Intl Group",7.02,,3.2,67,"-"
199,"Joerres, Jeffrey AJeffrey A Joerres","Manpower",6.95,30.33,15.9,51,"66"
200,"Babb, Ralph W JrRalph W Babb Jr","Comerica",6.94,20.89,17.5,62,"112"
201,"Levine, Howard RHoward R Levine","Fay Dollar Stores",6.88,18.54,486.2,52,"44"
202,"Marriott, J Willard JrJ Willard Marriott Jr","Marriott International",6.885,125.05,1610.5,79,"165"
203,"Faraci, John VJohn V Faraci","International Paper",6.865,42.71,38.4,61,"186"
204,"Kramer, Richard JRichard J Kramer","Goodyear",6.83,,2.8,47,"-"
205,"Greifeld, RobertRobert Greifeld","Nasdaq OMX Group",6.815,34.28,12.6,53,"28"
206,"Klein, Ward MWard M Klein","Energizer Holdings",6.77,31.9,3.7,56,"162"
207,"McDonald, Robert ARobert A McDonald","Procter & Gamble",6.76,,12.4,57,"-"
208,"Ring, Timothy MTimothy M Ring","CR Bard",6.75,67.33,27,53,"98"
209,"Plant, John CJohn C Plant","TRW Automotive Hldgs",6.745,55.36,33.6,57,"56"
210,"Sharer, Kevin WKevin W Sharer","Amgen",6.735,61.81,16.1,63,"189"
211,"Guthart, Gary SGary S Guthart","Intuitive Surgical",6.72,,12,45,"-"
212,"Shivery, Charles WCharles W Shivery","Northeast Utilities",6.69,28.93,18.8,65,"30"
213,"Templeton, Mark BMark B Templeton","Citrix Systems",6.695,29.06,15.7,58,"49"
214,"Falk, Thomas JThomas J Falk","Kimberly-Clark",6.69,50.89,42.7,53,"171"
215,"Rogers, James PJames P Rogers","Eastman Chemical",6.67,,7.4,60,"-"
216,"Murren, James JJames J Murren","MGM Mirage",6.665,45.393,2.1,49,"-"
